Artist;Song name;Album name;Year;Genre;Length;;;;
;;;;;;;;;
;;;;;;;;;
Teoalida's Music Database;;;;;;;;;
6000+ songs that I downloaded, listened and rated according my preferrences;;;;;;;;;
Copyright 2005-2016 - www.teoalida.com/database/music;;;;;;;;;
You are not allowed to distribute or post this file on other websites!;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ace of Base;;;;;#REF!;;;;
Ace of Base;All That She Wants;Happy Nation;1993;Pop;03:34;;;;
Ace of Base;Don't Turn Around;Happy Nation;1993;Pop;03:53;;;;
Ace of Base;Young and Proud;Happy Nation;1993;Pop;04:00;;;;
Ace of Base;The Sign;Happy Nation;1993;Pop;03:14;;;;
Ace of Base;Living In Danger;Happy Nation;1993;Pop;03:46;;;;
Ace of Base;Voulez-vous Danser;Happy Nation;1993;Pop;03:22;;;;
Ace of Base;Happy Nation;Happy Nation;1993;Pop;04:19;;;;
Ace of Base;Hear Me Calling;Happy Nation;1993;Pop;03:54;;;;
Ace of Base;"Waiting for Magic (Total Remix 7"")";Happy Nation;1993;Pop;03:56;;;;
Ace of Base;Fashion Party;Happy Nation;1993;Pop;04:15;;;;
Ace of Base;Wheel of Fortune;Happy Nation;1993;Pop;03:58;;;;
Ace of Base;Dancer In a Daydream;Happy Nation;1993;Pop;03:43;;;;
Ace of Base;My Mind (Mindless Mix);Happy Nation;1993;Pop;04:14;;;;
Ace of Base;All That She Wants (Bangra Version);Happy Nation;1993;Pop;04:20;;;;
Ace of Base;Happy Nation (Remix);Happy Nation;1993;Pop;03:47;;;;
Ace of Base;Beautiful Life;The Bridge;1995;Pop;03:40;;;;
Ace of Base;Never Gonna Say I'm Sorry;The Bridge;1995;Pop;03:16;;;;
Ace of Base;Lucky Love;The Bridge;1995;Pop;02:54;;;;
Ace of Base;Edge of Heaven;The Bridge;1995;Pop;03:50;;;;
Ace of Base;Strange Ways;The Bridge;1995;Pop;04:25;;;;
Ace of Base;Ravine;The Bridge;1995;Pop;04:39;;;;
Ace of Base;Perfect World;The Bridge;1995;Pop;03:55;;;;
Ace of Base;Angel Eyes;The Bridge;1995;Pop;03:13;;;;
Ace of Base;Whispers In Blindness;The Bridge;1995;Pop;04:11;;;;
Ace of Base;My Deja Vu;The Bridge;1995;Pop;03:40;;;;
Ace of Base;You and I;The Bridge;1995;Pop;04:08;;;;
Ace of Base;Wave Wet Sand;The Bridge;1995;Pop;03:18;;;;
Ace of Base;Que Sera;The Bridge;1995;Pop;03:47;;;;
Ace of Base;Just ´N´ Image;The Bridge;1995;Pop;03:08;;;;
Ace of Base;Lucky Love (Acoustic Version);The Bridge;1995;Pop;02:54;;;;
Ace of Base;Experience Pearls;The Bridge;1995;Pop;03:58;;;;
Ace of Base;Blooming 18;The Bridge;1995;Pop;03:37;;;;
Ace of Base;Life Is a Flower;Flowers;1998;Pop;03:45;;;;
Ace of Base;Always Have, Always Will;Flowers;1998;Pop;03:44;;;;
Ace of Base;Cruel Summer;Flowers;1998;Pop;03:35;;;;
Ace of Base;Travel to Romantis;Flowers;1998;Pop;04:10;;;;
Ace of Base;Adventures In Paradise;Flowers;1998;Pop;03:32;;;;
