"","artist","song name","album name","year","genre","song length"
"1","Ace of Base","Don't Turn Around","Happy Nation","1993","Pop","03:53"
"2","Ace of Base","Young and Proud","Happy Nation","1993","Pop","04:00"
"3","Ace of Base","The Sign","Happy Nation","1993","Pop","03:14"
"4","Ace of Base","Living In Danger","Happy Nation","1993","Pop","03:46"
"5","Ace of Base","Voulez-vous Danser","Happy Nation","1993","Pop","03:22"
"6","Ace of Base","Happy Nation","Happy Nation","1993","Pop","04:19"
"7","Ace of Base","Hear Me Calling","Happy Nation","1993","Pop","03:54"
"8","Ace of Base","Waiting for Magic (Total Remix 7"")","Happy Nation","1993","Pop","03:56"
"9","Ace of Base","Fashion Party","Happy Nation","1993","Pop","04:15"
"10","Ace of Base","Wheel of Fortune","Happy Nation","1993","Pop","03:58"
"11","Ace of Base","Dancer In a Daydream","Happy Nation","1993","Pop","03:43"
"12","Ace of Base","My Mind (Mindless Mix)","Happy Nation","1993","Pop","04:14"
"13","Ace of Base","All That She Wants (Bangra Version)","Happy Nation","1993","Pop","04:20"
"14","Ace of Base","Happy Nation (Remix)","Happy Nation","1993","Pop","03:47"
"15","Ace of Base","Beautiful Life","The Bridge","1995","Pop","03:40"
"16","Ace of Base","Never Gonna Say I'm Sorry","The Bridge","1995","Pop","03:16"
"17","Ace of Base","Lucky Love","The Bridge","1995","Pop","02:54"
"18","Ace of Base","Edge of Heaven","The Bridge","1995","Pop","03:50"
"19","Ace of Base","Strange Ways","The Bridge","1995","Pop","04:25"
"20","Ace of Base","Ravine","The Bridge","1995","Pop","04:39"
"21","Ace of Base","Perfect World","The Bridge","1995","Pop","03:55"
"22","Ace of Base","Angel Eyes","The Bridge","1995","Pop","03:13"
"23","Ace of Base","Whispers In Blindness","The Bridge","1995","Pop","04:11"
"24","Ace of Base","My Deja Vu","The Bridge","1995","Pop","03:40"
"25","Ace of Base","You and I","The Bridge","1995","Pop","04:08"
"26","Ace of Base","Wave Wet Sand","The Bridge","1995","Pop","03:18"
"27","Ace of Base","Que Sera","The Bridge","1995","Pop","03:47"
"28","Ace of Base","Just ¥N¥ Image","The Bridge","1995","Pop","03:08"
"29","Ace of Base","Lucky Love (Acoustic Version)","The Bridge","1995","Pop","02:54"
"30","Ace of Base","Experience Pearls","The Bridge","1995","Pop","03:58"
"31","Ace of Base","Blooming 18","The Bridge","1995","Pop","03:37"
"32","Ace of Base","Life Is a Flower","Flowers","1998","Pop","03:45"
"33","Ace of Base","Always Have, Always Will","Flowers","1998","Pop","03:44"
"34","Ace of Base","Cruel Summer","Flowers","1998","Pop","03:35"
"35","Ace of Base","Travel to Romantis","Flowers","1998","Pop","04:10"
"36","Ace of Base","Adventures In Paradise","Flowers","1998","Pop","03:32"
"37","Ace of Base","Dr. Sun","Flowers","1998","Pop","03:35"
"38","Ace of Base","Cecilia","Flowers","1998","Pop","03:55"
"39","Ace of Base","He Decides","Flowers","1998","Pop","03:09"
"40","Ace of Base","I Pray","Flowers","1998","Pop","03:18"
"41","Ace of Base","Tokyo girl","Flowers","1998","Pop","03:36"
"42","Ace of Base","Don't Go Away","Flowers","1998","Pop","03:41"
"43","Ace of Base","Captain Nemo","Flowers","1998","Pop","04:02"
"44","Ace of Base","Donnie","Flowers","1998","Pop","04:39"
"45","Ace of Base","Cruel Summer (Big Bonus Mix)","Flowers","1998","Pop","04:06"
"46","Ace of Base","Unspeakable","Da Capo","2002","Pop","03:14"
"47","Ace of Base","Beautiful Morning","Da Capo","2002","Pop","03:00"
"48","Ace of Base","Remember the Words","Da Capo","2002","Pop","03:42"
"49","Ace of Base","Da Capo","Da Capo","2002","Pop","03:11"
"50","Ace of Base","World Down Under","Da Capo","2002","Pop","03:34"
"51","Ace of Base","Ordinary Day","Da Capo","2002","Pop","03:23"
"52","Ace of Base","Wonderful Life","Da Capo","2002","Pop","04:15"
"53","Ace of Base","Show Me Love","Da Capo","2002","Pop","03:43"
"54","Ace of Base","What's the Name of the Game","Da Capo","2002","Pop","03:03"
"55","Ace of Base","Change With the Light","Da Capo","2002","Pop","03:37"
"56","Ace of Base","Hey Darling","Da Capo","2002","Pop","03:17"
"57","Ace of Base","The Juvenile","Da Capo","2002","Pop","03:44"
"90","Alan Jackson","Ace of Hearts","Here In the Real World","1990","Country","03:04"
"91","Alan Jackson","Here In the Real World","Here In the Real World","1990","Country","03:36"
"92","Alan Jackson","Blue Blooded Woman","Here In the Real World","1990","Country","02:14"
